country,population
中国,1400050000
印度,1354051854
美国,326766748
印度尼西亚,266794980
巴西,210867954
巴基斯坦,200813818
尼日利亚,195875237
孟加拉国,166368149
俄罗斯,143964709
墨西哥,130759074
日本,127185332
埃塞俄比亚,106672306
菲律宾,106512074
埃及,99375741
越南,96491146
刚果民主共和国,82643624
德国,82293457
伊朗,82011735
土耳其,81916871
泰国,69183173
英国,66573504
法国,65233271
意大利,60482200
坦桑尼亚,59091392
南非,57398421
缅甸,53855735
韩国,51269185
肯尼亚,50950879
哥伦比亚,49464683
西班牙,46397452
阿根廷,44688864
乌干达,44270563
乌克兰,44009214
阿尔及利亚,42008054
苏丹,41511526
伊拉克,39339753
波兰,38104832
加拿大,36953765
阿富汗,36373176
摩洛哥,36191805
沙特阿拉伯,33554343
秘鲁,32551815
委内瑞拉,32381221
乌兹别克斯坦,32364996
马来西亚,32042458
安哥拉,30774205
莫桑比克,30528673
尼泊尔,29624035
加纳,29463643
也门,28915284
马达加斯加,26262810
朝鲜,25663011
科特迪瓦,24905843
澳大利亚,24772247
喀麦隆,24678234
尼日尔,22311375
斯里兰卡,20950041
布基纳法索,19751651
罗马尼亚,19580634
马拉维,19164728
马里,19107706
哈萨克斯坦,18403860
叙利亚,18284407
智利,18197209
赞比亚,17609178
危地马拉,17245346
荷兰,17084459
津巴布韦,16913261
厄瓜多尔,16863425
塞内加尔,16294270
柬埔寨,16245729
乍得,15353184
索马里,15181925
几内亚,13052608
南苏丹,12919053
卢旺达,12501156
突尼斯,11659174
比利时,11498519
古巴,11489082
贝宁,11485674
布隆迪,11216450
玻利维亚,11215674
希腊,11142161
海地,11112945
多明尼加共和国,10882996
捷克共和国,10625250
葡萄牙,10291196
瑞典,9982709
阿塞拜疆,9923914
约旦,9903802
匈牙利,9688847
阿联酋,9541615
白俄罗斯,9452113
洪都拉斯,9417167
塔吉克斯坦,9107211
塞尔维亚,8762027
奥地利,8751820
瑞士,8544034
以色列,8452841
巴布亚新几内亚,8418346
多哥,7990926
塞拉利昂,7719729
保加利亚,7036848
老挝,6961210
巴拉圭,6896908
利比亚,6470956
萨尔瓦多,6411558
尼加拉瓜,6284757
吉尔吉斯斯坦,6132932
黎巴嫩,6093509
土库曼斯坦,5851466
新加坡,5791901
丹麦,5754356
芬兰,5542517
斯洛伐克,5449816
刚果共和国,5399895
挪威,5353363
厄立特里亚,5187948
巴勒斯坦,5052776
哥斯达黎加,4953199
利比里亚,4853516
阿曼,4829946
爱尔兰,4803748
新西兰,4749598
中非共和国,4737423
毛里塔尼亚,4540068
科威特,4197128
克罗地亚,4164783
巴拿马,4162618
摩尔多瓦,4041065
格鲁吉亚,3907131
波多黎各,3659007
波黑,3503554
乌拉圭,3469551
蒙古,3121772
阿尔巴尼亚,2934363
亚美尼亚,2934152
牙买加,2898677
立陶宛,2876475
卡塔尔,2694849
纳米比亚,2587801
博茨瓦纳,2333201
莱索托,2263010
冈比亚,2163765
马其顿,2085051
斯洛文尼亚,2081260
加蓬,2067561
拉脱维亚,1929938
几内亚比绍,1907268
巴林,1566993
斯威士兰,1391385
特立尼达和多巴哥,1372598
东帝汶,1324094
赤道几内亚,1313894
爱沙尼亚,1306788
毛里求斯,1268315
塞浦路斯,1189085
吉布提,971408
斐济,912241
留尼旺岛,883247
科摩罗,832347
不丹,817054
圭亚那,782225
黑山,629219
所罗门群岛,623281
卢森堡,590321
苏里南,568301
西撒哈拉,567421
佛得角,553335
瓜德罗普岛,449173
马尔代夫,444259
文莱,434076
马耳他,432089
巴哈马,399285
马提尼克,385065
伯利兹,382444
冰岛,337780
法属圭亚那,289763
巴巴多斯,286388
法属玻利尼西亚,285859
