country,new,all,cure,death,population,diagnosticRate
卢森堡,434.0,43279.0,34609.0,428.0,590321.0,7.331434931164569
黑山,432.0,42995.0,33049.0,614.0,629219.0,6.8330740171546
巴林,143.0,89743.0,87846.0,349.0,1566993.0,5.727083656404336
美国,230982.0,17626770.0,10291057.0,317928.0,326766748.0,5.394297341417371
比利时,3146.0,618204.0,0.0,18371.0,11498519.0,5.376379340678569
卡塔尔,140.0,141557.0,139243.0,242.0,2694849.0,5.252873166548478
亚美尼亚,1174.0,151392.0,129990.0,2581.0,2934152.0,5.159650897431353
格鲁吉亚,2981.0,201368.0,169282.0,1953.0,3907131.0,5.153858419387525
斯洛文尼亚,1654.0,102043.0,79193.0,2233.0,2081260.0,4.902943409280916
巴拿马,3348.0,203295.0,168238.0,3481.0,4162618.0,4.883825515576976
